"","Date","country","cases","year"
"527",2004-01-18,"France",29,2004
"528",2004-01-18,"Germany",1135,2004
"529",2004-01-18,"Japan",452,2004
"530",2004-01-18,"Mexico",977,2004
"531",2004-01-18,"Netherlands",20,2004
"532",2004-01-18,"Peru",303,2004
"533",2004-01-18,"Romania",815,2004
"534",2004-01-18,"Spain",18,2004
"535",2004-01-18,"Switzerland",133,2004
"536",2004-01-18,"United States",1616,2004
"537",2004-01-18,"Uruguay",117,2004
"538",2004-01-25,"Argentina",102,2004
"539",2004-01-25,"Austria",998,2004
"540",2004-01-25,"Belgium",78,2004
"541",2004-01-25,"Bolivia",348,2004
"542",2004-01-25,"Brazil",145,2004
"543",2004-01-25,"Canada",2155,2004
"544",2004-01-25,"Chile",1,2004
"545",2004-01-25,"France",30,2004
"546",2004-01-25,"Germany",1190,2004
"547",2004-01-25,"Japan",695,2004
"548",2004-01-25,"Mexico",976,2004
"549",2004-01-25,"Netherlands",20,2004
"550",2004-01-25,"Peru",284,2004
"551",2004-01-25,"Romania",782,2004
"552",2004-01-25,"Spain",19,2004
"553",2004-01-25,"Switzerland",82,2004
"554",2004-01-25,"United States",1396,2004
"555",2004-01-25,"Uruguay",108,2004
"556",2004-02-01,"Argentina",102,2004
"557",2004-02-01,"Austria",1016,2004
"558",2004-02-01,"Belgium",80,2004
"559",2004-02-01,"Bolivia",336,2004
"560",2004-02-01,"Brazil",146,2004
"561",2004-02-01,"Canada",1699,2004
"562",2004-02-01,"Chile",1,2004
"563",2004-02-01,"France",32,2004
"564",2004-02-01,"Germany",1196,2004
"565",2004-02-01,"Japan",708,2004
"566",2004-02-01,"Mexico",932,2004
"567",2004-02-01,"Netherlands",20,2004
"568",2004-02-01,"Peru",261,2004
"569",2004-02-01,"Romania",754,2004
"570",2004-02-01,"Spain",19,2004
"571",2004-02-01,"Switzerland",53,2004
"572",2004-02-01,"United States",1227,2004
"573",2004-02-01,"Uruguay",104,2004
"574",2004-02-08,"Argentina",102,2004
"575",2004-02-08,"Austria",854,2004
"576",2004-02-08,"Belgium",65,2004
"577",2004-02-08,"Bolivia",321,2004
"578",2004-02-08,"Brazil",187,2004
"579",2004-02-08,"Canada",1649,2004
"580",2004-02-08,"Chile",2,2004
"581",2004-02-08,"France",22,2004
"582",2004-02-08,"Germany",1145,2004
"583",2004-02-08,"Japan",537,2004
"584",2004-02-08,"Mexico",939,2004
"585",2004-02-08,"Netherlands",19,2004
"586",2004-02-08,"Peru",220,2004
"587",2004-02-08,"Romania",811,2004
"588",2004-02-08,"Spain",16,2004
"589",2004-02-08,"Switzerland",37,2004
"590",2004-02-08,"United States",1186,2004
"591",2004-02-08,"Uruguay",100,2004
"592",2004-02-15,"Argentina",102,2004
"593",2004-02-15,"Austria",824,2004
"594",2004-02-15,"Belgium",64,2004
"595",2004-02-15,"Bolivia",330,2004
"596",2004-02-15,"Brazil",185,2004
"597",2004-02-15,"Canada",1700,2004
"598",2004-02-15,"Chile",1,2004
"599",2004-02-15,"France",23,2004
"600",2004-02-15,"Germany",1194,2004
"601",2004-02-15,"Japan",337,2004
"602",2004-02-15,"Mexico",913,2004
"603",2004-02-15,"Netherlands",19,2004
"604",2004-02-15,"Peru",289,2004
"605",2004-02-15,"Romania",769,2004
"606",2004-02-15,"Spain",13,2004
"607",2004-02-15,"Switzerland",29,2004
"608",2004-02-15,"United States",1162,2004
"609",2004-02-15,"Uruguay",108,2004
"610",2004-02-22,"Argentina",114,2004
"611",2004-02-22,"Austria",738,2004
"612",2004-02-22,"Belgium",44,2004
"613",2004-02-22,"Bolivia",329,2004
"614",2004-02-22,"Brazil",206,2004
"615",2004-02-22,"Canada",1580,2004
"616",2004-02-22,"Chile",1,2004
"617",2004-02-22,"France",31,2004
"618",2004-02-22,"Germany",1308,2004
"619",2004-02-22,"Japan",182,2004
"620",2004-02-22,"Mexico",974,2004
"621",2004-02-22,"Netherlands",18,2004
"622",2004-02-22,"Peru",228,2004
"623",2004-02-22,"Romania",761,2004
"624",2004-02-22,"Spain",15,2004
"625",2004-02-22,"Switzerland",24,2004
"626",2004-02-22,"United States",1118,2004
"627",2004-02-22,"Uruguay",115,2004
"628",2004-02-29,"Argentina",121,2004
